"","Year","Month","Date","City","Temperature"
"315","1999","DEC",1999-12-01,"Bogota",13
"316","2000","JAN",2000-01-01,"Bogota",12.5
"317","2000","FEB",2000-02-01,"Bogota",12.8
"318","2000","MAR",2000-03-01,"Bogota",13.1
"319","2000","APR",2000-04-01,"Bogota",13.3
"320","2000","MAY",2000-05-01,"Bogota",13.4
"321","2000","JUN",2000-06-01,"Bogota",13.8
"322","2000","JUL",2000-07-01,"Bogota",12.9
"323","2000","AUG",2000-08-01,"Bogota",13.1
"324","2000","SEP",2000-09-01,"Bogota",12.6
"325","2000","OCT",2000-10-01,"Bogota",13.9
"326","2000","NOV",2000-11-01,"Bogota",13.6
"327","2000","DEC",2000-12-01,"Bogota",13.3
"328","2001","JAN",2001-01-01,"Bogota",12.2
"329","2001","FEB",2001-02-01,"Bogota",13.4
"330","2001","MAR",2001-03-01,"Bogota",13.9
"331","2001","APR",2001-04-01,"Bogota",14
"332","2001","MAY",2001-05-01,"Bogota",14.1
"333","2001","JUN",2001-06-01,"Bogota",13.6
"334","2001","JUL",2001-07-01,"Bogota",13.4
"335","2001","AUG",2001-08-01,"Bogota",13.6
"336","2001","SEP",2001-09-01,"Bogota",13.2
"337","2001","OCT",2001-10-01,"Bogota",14
"338","2001","NOV",2001-11-01,"Bogota",13.9
"339","2001","DEC",2001-12-01,"Bogota",14.5
"340","2002","JAN",2002-01-01,"Bogota",13.5
"341","2002","FEB",2002-02-01,"Bogota",14.2
"342","2002","MAR",2002-03-01,"Bogota",14.2
"343","2002","APR",2002-04-01,"Bogota",14.4
"344","2002","MAY",2002-05-01,"Bogota",14.7
"345","2002","JUN",2002-06-01,"Bogota",14.2
"346","2002","JUL",2002-07-01,"Bogota",14
"347","2002","AUG",2002-08-01,"Bogota",13.9
"348","2002","SEP",2002-09-01,"Bogota",13.6
"349","2002","OCT",2002-10-01,"Bogota",14
"350","2002","NOV",2002-11-01,"Bogota",13.8
"351","2002","DEC",2002-12-01,"Bogota",14.3
"352","2003","JAN",2003-01-01,"Bogota",13.6
"353","2003","FEB",2003-02-01,"Bogota",14.6
"354","2003","MAR",2003-03-01,"Bogota",14.3
"355","2003","APR",2003-04-01,"Bogota",14.5
"356","2003","MAY",2003-05-01,"Bogota",14.5
"357","2003","JUN",2003-06-01,"Bogota",13.3
"358","2003","JUL",2003-07-01,"Bogota",13.5
"359","2003","SEP",2003-09-01,"Bogota",13.2
"360","2003","OCT",2003-10-01,"Bogota",13.6
"361","2003","NOV",2003-11-01,"Bogota",13.3
"362","2003","DEC",2003-12-01,"Bogota",13.3
"363","2004","JAN",2004-01-01,"Bogota",12.8
"364","2004","FEB",2004-02-01,"Bogota",13.2
"365","2004","MAR",2004-03-01,"Bogota",13.8
"366","2004","APR",2004-04-01,"Bogota",13.6
"367","2004","MAY",2004-05-01,"Bogota",13.9
"368","2004","JUN",2004-06-01,"Bogota",14.7
"369","2004","JUL",2004-07-01,"Bogota",12.9
"370","2004","AUG",2004-08-01,"Bogota",13.3
"371","2004","SEP",2004-09-01,"Bogota",12.9
"372","2004","NOV",2004-11-01,"Bogota",13.7
"373","2004","DEC",2004-12-01,"Bogota",13.3
"374","2005","FEB",2005-02-01,"Bogota",14
"375","2005","MAR",2005-03-01,"Bogota",13.9
"376","2005","APR",2005-04-01,"Bogota",14.4
"377","2005","MAY",2005-05-01,"Bogota",14.3
"378","2005","JUN",2005-06-01,"Bogota",13.8
"379","2005","JUL",2005-07-01,"Bogota",13.7
"380","2005","AUG",2005-08-01,"Bogota",13.4
"381","2005","SEP",2005-09-01,"Bogota",13.3
"382","2005","OCT",2005-10-01,"Bogota",13.1
"383","2005","NOV",2005-11-01,"Bogota",13.3
"384","2005","DEC",2005-12-01,"Bogota",13.1
"385","2006","JAN",2006-01-01,"Bogota",13.5
"386","2006","FEB",2006-02-01,"Bogota",13.7
"387","2006","MAR",2006-03-01,"Bogota",13.3
"388","2006","APR",2006-04-01,"Bogota",13.6
"389","2006","MAY",2006-05-01,"Bogota",13.7
"390","2006","AUG",2006-08-01,"Bogota",13.8
"391","2006","SEP",2006-09-01,"Bogota",13.6
"392","2006","OCT",2006-10-01,"Bogota",13.5
"393","2006","DEC",2006-12-01,"Bogota",13.5
"394","2007","JAN",2007-01-01,"Bogota",13.7
"395","2007","FEB",2007-02-01,"Bogota",12.8
"396","2007","MAR",2007-03-01,"Bogota",13.7
"397","2007","APR",2007-04-01,"Bogota",14.2
"398","2007","MAY",2007-05-01,"Bogota",13.7
"399","2007","JUN",2007-06-01,"Bogota",13.3
"400","2007","JUL",2007-07-01,"Bogota",13.4
"401","2007","AUG",2007-08-01,"Bogota",13.2
"402","2007","SEP",2007-09-01,"Bogota",13.3
"403","2007","OCT",2007-10-01,"Bogota",13.1
"404","2007","NOV",2007-11-01,"Bogota",13.2
"405","2007","DEC",2007-12-01,"Bogota",12.9
"406","2008","JAN",2008-01-01,"Bogota",12.9
"407","2008","FEB",2008-02-01,"Bogota",13.3
"408","2008","MAR",2008-03-01,"Bogota",13
"409","2008","APR",2008-04-01,"Bogota",13.4
"410","2008","JUN",2008-06-01,"Bogota",13.3
"411","2008","JUL",2008-07-01,"Bogota",13
"412","2008","AUG",2008-08-01,"Bogota",13.1
"413","2008","SEP",2008-09-01,"Bogota",13.2
"414","2008","OCT",2008-10-01,"Bogota",13
"415","2008","NOV",2008-11-01,"Bogota",13.6
"416","2008","DEC",2008-12-01,"Bogota",13.1
"417","2009","JAN",2009-01-01,"Bogota",13.2
"418","2009","FEB",2009-02-01,"Bogota",13.3
"419","2009","MAR",2009-03-01,"Bogota",13.3
"420","2009","APR",2009-04-01,"Bogota",14.2
"421","2009","JUN",2009-06-01,"Bogota",14.3
"422","2009","JUL",2009-07-01,"Bogota",14
"423","2009","AUG",2009-08-01,"Bogota",14.5
"424","2009","SEP",2009-09-01,"Bogota",14.4
"425","2009","OCT",2009-10-01,"Bogota",14
"426","2009","NOV",2009-11-01,"Bogota",13.6
"427","2009","DEC",2009-12-01,"Bogota",13.8
"428","2010","JAN",2010-01-01,"Bogota",13.6
"429","2012","FEB",2012-02-01,"Bogota",13
"430","2012","MAR",2012-03-01,"Bogota",13.6
"431","2012","APR",2012-04-01,"Bogota",13.4
"432","2012","MAY",2012-05-01,"Bogota",13.7
"433","2012","JUN",2012-06-01,"Bogota",13.8
"434","2012","AUG",2012-08-01,"Bogota",13.5
"435","2012","SEP",2012-09-01,"Bogota",13.2
"436","2012","OCT",2012-10-01,"Bogota",13.6
"437","2012","NOV",2012-11-01,"Bogota",13.6
"438","2013","JAN",2013-01-01,"Bogota",13.5
"439","2013","FEB",2013-02-01,"Bogota",13.9
"440","2013","MAR",2013-03-01,"Bogota",14.2
"441","2013","APR",2013-04-01,"Bogota",14.4
"442","2013","MAY",2013-05-01,"Bogota",14
"443","2013","JUN",2013-06-01,"Bogota",13.9
"444","2013","JUL",2013-07-01,"Bogota",13.3
"445","2013","AUG",2013-08-01,"Bogota",13.7
"446","2013","SEP",2013-09-01,"Bogota",13.9
"447","2013","OCT",2013-10-01,"Bogota",13.5
"448","2013","NOV",2013-11-01,"Bogota",13.5
"449","2013","DEC",2013-12-01,"Bogota",13.5
"450","2014","JAN",2014-01-01,"Bogota",13.7
"451","2014","FEB",2014-02-01,"Bogota",13.7
"452","2014","MAR",2014-03-01,"Bogota",14
"453","2014","APR",2014-04-01,"Bogota",14.2
"454","2014","MAY",2014-05-01,"Bogota",14.1
"455","2014","JUN",2014-06-01,"Bogota",13.9
"456","2014","JUL",2014-07-01,"Bogota",13.8
"457","2014","AUG",2014-08-01,"Bogota",13.4
"458","2014","SEP",2014-09-01,"Bogota",13.7
"459","2014","OCT",2014-10-01,"Bogota",13.8
"460","2014","NOV",2014-11-01,"Bogota",13.8
"461","2014","DEC",2014-12-01,"Bogota",13.5
"462","2015","JAN",2015-01-01,"Bogota",13.4
"463","2015","FEB",2015-02-01,"Bogota",14
"464","1951","JAN",1951-01-01,"Cali",22.7
"465","1951","FEB",1951-02-01,"Cali",22.8
"466","1951","MAR",1951-03-01,"Cali",24.4
"467","1951","APR",1951-04-01,"Cali",23.1
"468","1951","MAY",1951-05-01,"Cali",23.3
"469","1951","JUN",1951-06-01,"Cali",23.2
"470","1951","JUL",1951-07-01,"Cali",23.2
"471","1951","AUG",1951-08-01,"Cali",23.8
"472","1951","SEP",1951-09-01,"Cali",23.4
"473","1951","OCT",1951-10-01,"Cali",23.5
"474","1951","DEC",1951-12-01,"Cali",23.3
"475","1952","JAN",1952-01-01,"Cali",23.8
"476","1952","FEB",1952-02-01,"Cali",23.3
"477","1952","MAR",1952-03-01,"Cali",23.5
"478","1952","APR",1952-04-01,"Cali",22.9
"479","1952","MAY",1952-05-01,"Cali",22.8
"480","1952","JUN",1952-06-01,"Cali",23
"481","1952","JUL",1952-07-01,"Cali",23.2
"482","1952","AUG",1952-08-01,"Cali",23.3
"483","1952","SEP",1952-09-01,"Cali",23.2
"484","1952","DEC",1952-12-01,"Cali",23.1
"485","1953","JAN",1953-01-01,"Cali",23.1
"486","1953","FEB",1953-02-01,"Cali",23.7
"487","1953","MAR",1953-03-01,"Cali",23.9
"488","1953","APR",1953-04-01,"Cali",22.9
"489","1953","MAY",1953-05-01,"Cali",22.6
"490","1953","JUN",1953-06-01,"Cali",23.2
"491","1953","JUL",1953-07-01,"Cali",23.2
"492","1953","AUG",1953-08-01,"Cali",24.2
"493","1953","SEP",1953-09-01,"Cali",23.2
"494","1953","OCT",1953-10-01,"Cali",22.2
"495","1954","JAN",1954-01-01,"Cali",24
"496","1954","FEB",1954-02-01,"Cali",23.8
"497","1954","MAR",1954-03-01,"Cali",23.3
"498","1954","APR",1954-04-01,"Cali",22.7
"499","1954","MAY",1954-05-01,"Cali",22.9
"500","1954","JUN",1954-06-01,"Cali",22.3
"501","1954","JUL",1954-07-01,"Cali",22.4
"502","1954","AUG",1954-08-01,"Cali",22.8
"503","1954","SEP",1954-09-01,"Cali",24.3
"504","1954","OCT",1954-10-01,"Cali",23.1
"505","1954","NOV",1954-11-01,"Cali",23.1
"506","1954","DEC",1954-12-01,"Cali",23.5
"507","1955","JAN",1955-01-01,"Cali",24.2
"508","1955","FEB",1955-02-01,"Cali",24.4
"509","1955","MAR",1955-03-01,"Cali",24.1
"510","1955","APR",1955-04-01,"Cali",23.8
"511","1955","MAY",1955-05-01,"Cali",24
"512","1955","JUN",1955-06-01,"Cali",23.1
"513","1955","JUL",1955-07-01,"Cali",23.1
"514","1955","AUG",1955-08-01,"Cali",23.9
"515","1955","SEP",1955-09-01,"Cali",23.8
"516","1955","OCT",1955-10-01,"Cali",22.6
"517","1955","DEC",1955-12-01,"Cali",22.9
"518","1956","JAN",1956-01-01,"Cali",23.7
"519","1956","FEB",1956-02-01,"Cali",23.6
"520","1956","MAR",1956-03-01,"Cali",24.4
"521","1956","APR",1956-04-01,"Cali",23.9
"522","1956","MAY",1956-05-01,"Cali",23.7
"523","1956","JUN",1956-06-01,"Cali",23.2
